название,описание,изображение,цена
Сотовый телефон BRAVIS A552 Joy Max золотой,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч
	вес 184 г, ШxВxТ 77x153x8.30...",/images/product/40705/40705.jpg,7730 сом
Сотовый телефон BRAVIS A552 Joy Max серый,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч
	вес 184 г, ШxВxТ 77x153x8.30...",/images/product/40706/40706.jpg,7730 сом
Сотовый телефон BRAVIS Next черный,"смартфон, Android 5.1; поддержка двух SIM-карт; экран 4.5"", разрешение 800x480; камера 5 МП; память 4 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; аккумулятор 1700 мА⋅ч; вес 120 г,...",/images/product/27139/27139.jpg,6370 сом
Сотовый телефон BRAVIS Trend черный,"смартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 5 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; аккумулятор 2000 мА⋅ч; вес 146 г,...",/images/product/27142/27142.jpg,7730 сом
Сотовый телефон BRAVIS Trend белый,"смартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 5 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; аккумулятор 2000 мА⋅ч; вес 146 г,...",/images/product/27143/27143.jpg,7730 сом
Сотовый телефон Philips Xenium V526 LTE синий,"смартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 13 МП; память 8 Гб, слот для карты памяти; 3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 5000...",/images/product/27150/27150.jpg,17740 сом
Сотовый телефон BRAVIS A504 Trace черный,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2300 мА⋅ч
	вес 178 г, ШxВxТ 71.30x141x8.70 мм",/images/product/39000/39000.jpg,7390 сом
Сотовый телефон BRAVIS A504 Trace золотой,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2300 мА⋅ч
	вес 178 г, ШxВxТ 71.30x141x8.70 мм",/images/product/39001/39001.jpg,7390 сом
Сотовый телефон BRAVIS A504 Trace белый,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2300 мА⋅ч
	вес 178 г, ШxВxТ 71.30x141x8.70 мм",/images/product/39002/39002.jpg,7390 сом
Сотовый телефон Philips S326 серый,"смартфон, Android 5.1
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч
	вес 154...",/images/product/39006/39006.jpg,9420 сом
Сотовый телефон BRAVIS A505 Joy Plus синий,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 152 г, ШxВxТ 70x142x8.20 мм",//avatars.mds.yandex.net/get-mpic/96484/img_id7447538864012848741/9,7470 сом
Сотовый телефон BRAVIS A505 Joy Plus белый,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 152 г, ШxВxТ 70x142x8.20 мм",/images/product/40544/40544.jpg,7470 сом
Сотовый телефон Ergo A551 Sky синий,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП
	память 8 Гб, слот для карты памяти
	3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч",//avatars.mds.yandex.net/get-mpic/96484/img_id7837171693509932706/9,8230 сом
Сотовый телефон Ergo A551 Sky золотой,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП
	память 8 Гб, слот для карты памяти
	3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч",/images/product/40546/40546.jpg,8230 сом
Сотовый телефон ASUS Fonepad Note 6 16Gb черный,"смартфон, Android 4.2; экран 6"", разрешение 1920x1080; камера 8 МП, автофокус; память 16 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 3200 мА⋅ч; вес 210 г, ШxВxТ...",/images/product/31395/31395.jpg,36080 сом
Смартфон iLife itell S500S серебристый,"Смартфон ,Android 4.4.2 ,Поддержка двух SIM-карт ,Экран 5.0 "" ,Объем оперативной памяти 512 Мб ,Объем встроенной памяти 4 Гб ,Камера 8 Мп ,Фронтальная камера 0,3 Мп ,FM-радио ,Bluetooth ,Wi-Fi",/images/product/19401/19401.jpg,8230 сом
Сотовый телефон BRAVIS A503 Joy черный,"смартфон, Android 6.0; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 8 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; объем оперативной памяти 1 Гб; аккумулятор...",/images/product/34265/34265.jpg,6280 сом
Сотовый телефон BRAVIS A503 Joy золотой,"смартфон, Android 6.0; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 8 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; объем оперативной памяти 1 Гб; аккумулятор...",/images/product/34266/34266.jpg,6280 сом
Сотовый телефон BRAVIS A503 Joy белый,"смартфон, Android 6.0; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 8 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; объем оперативной памяти 1 Гб; аккумулятор...",/images/product/34267/34267.jpg,6280 сом
Сотовый телефон Ergo A502 Aurum белый,"смартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 156 г, ШxВxТ 70x143x8.60...",/images/product/40680/40680.jpg,5940 сом
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черный,"экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",/images/product/92416/1635945551_75038600.jpg,28530 сом
Сотовый телефон Huawei P smart Z 4/64GB черный,"смартфон с Android 9.0, поддержка двух SIM-карт, экран 6.59"", разрешение 2340x1080, двойная камера 16 МП/2 МП, автофокус, память 64 Гб, слот для карты памяти, 3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth,...",/images/product/70402/70402.jpg,15370 сом
Сотовый телефон Vertex D552 синий,"экран: 2.4"" (320×240), память: 32 МБ, слот для карты памяти, камера: 0.30 МП, аккумулятор: 1000 мА·ч, SIM-карты: 2, беспроводные интерфейсы: Bluetooth",/images/product/92930/1621785968_78032200.jpg,1360 сом
Сотовый телефон Vertex D552 красный,"экран: 2.4"" (320×240), память: 32 МБ, слот для карты памяти, камера: 0.30 МП, аккумулятор: 1000 мА·ч, SIM-карты: 2, беспроводные интерфейсы: Bluetooth",/images/product/92931/1621786009_50204600.jpg,1360 сом
Сотовый телефон Nokia 5310 (2020) Dual Sim черный,"поддержка двух SIM-карт, экран 2.4"", камера: 0.30 МП, память 16 МБ, слот для карты памяти, Bluetooth, аккумулятор 1200 мА⋅ч, вес 88 г, ШxВxТ 52.40x123.70x13.10 мм, радио",/images/product/85254/1603132115_66857000.jpg,4240 сом
Сотовый телефон Nokia 5310 (2020) Dual Sim белый,"поддержка двух SIM-карт, экран 2.4"", камера: 0.30 МП, память 16 МБ, слот для карты памяти, Bluetooth, аккумулятор 1200 мА⋅ч, вес 88 г, ШxВxТ 52.40x123.70x13.10 мм, радио",/images/product/85255/1603132141_84330700.jpg,4240 сом
Сотовый телефон Xiaomi Mi 11 Lite 6/128GB розовый,"экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",/images/product/91399/1619364564_04035900.jpg,25720 сом
Сотовый телефон Philips Xenium E109 черный,"поддержка двух SIM-карт, экран 1.77"", разрешение 160x128, без камеры, память 32 Мб, слот для карты памяти, объем оперативной памяти 32 Мб, аккумулятор 1000 мА⋅ч, вес 76 г, ШxВxТ 46.60x108.60x17.20 мм,...",/images/product/69896/69896.jpg,1950 сом
Сотовый телефон Realme C3 3/64GB серый,"Android 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, макро, портретная, процессор MediaTek Helio G70, память 64 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...",/images/product/85256/1603134442_04104000.jpg,11290 сом
Сотовый телефон Realme C3 3/64GB голубой,"Android 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, макро, портретная, процессор MediaTek Helio G70, память 64 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...",/images/product/85257/1603134537_25368900.jpg,11290 сом
Сотовый телефон Nokia 210 черный,"поддержка двух SIM-карт, экран 2.4"", камера 0.30 МП, память 16 Мб, слот для карты памяти, аккумулятор 1020 мА⋅ч, ШxВxТ 53.49x120.80x13.81 мм, MP3-плеер, радио",/images/product/69898/69898.jpg,3820 сом
Сотовый телефон Realme C3 3/64GB красный,"Android 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, макро, портретная, процессор MediaTek Helio G70, память 64 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...",/images/product/85258/1603134653_07826100.jpg,11290 сом
Сотовый телефон BQ BQ-2428 Tank,"поддержка двух SIM-карт, экран 2.4"", разрешение 320x240, камера, память 30.72 Мб, слот для карты памяти, Bluetooth, объем оперативной памяти 32 Мб, аккумулятор 1000 мА⋅ч, вес 91 г, ШxВxТ 53x125.50x14.20 мм,...",/images/product/69899/69899.jpg,3400 сом
Сотовый телефон Apple iPhone 12 64GB черный,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 64 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85003/1602711552_56049300.jpg,66390 сом
Сотовый телефон Xiaomi Redmi 9C 4/128GB серый,"Android 10, поддержка двух SIM-карт, экран 6.53"", разрешение 1600x720, 3 камеры: 13 МП, макро, датчик глубины, процессор MediaTek Helio G35, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...",/images/product/95755/1627654600_03946800.jpg,12900 сом
Сотовый телефон Xiaomi Mi 11 Lite 8/128GB розовый,"экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",/images/product/90892/1617994886_34354200.jpg,28020 сом
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB белый,"смартфон на платформе Android, поддержка двух SIM-карт, экран 6.9"", разрешение 3088x1440, 4 камеры: широкоугольная (108 МП), сверхширокоугольная, телефото, процессор Qualcomm Snapdragon 865, память 256 ГБ, слот для карты памяти, 3G,...",/images/product/95756/1627808224_15778300.jpg,78790 сом
Сотовый телефон Xiaomi Redmi 10 4/128GB серый,"смартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...",/images/product/97292/1630854310_48805900.jpg,16990 сом
Сотовый телефон Apple iPhone 12 128GB черный,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85005/1602711824_97292800.jpg,74540 сом
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB атлантический синий,"экран: 6.67"" (2400x1080) 120 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 4820 мА·ч, процессор:...",/images/product/90125/1615978765_49516200.jpg,27590 сом
Сотовый телефон Realme C3 2/32GB голубой,"Android 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, 2 МП, 2 МП, процессор MediaTek Helio G70, память 32 ГБ, слот для карты памяти, 3G, 4G...",/images/product/90893/1618065247_88057600.jpg,10020 сом
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB черный,"смартфон на платформе Android, поддержка двух SIM-карт, экран 6.9"", разрешение 3088x1440, 4 камеры: широкоугольная (108 МП), сверхширокоугольная, телефото, процессор Qualcomm Snapdragon 865, память 256 ГБ, слот для карты памяти, 3G,...",/images/product/95757/1627808275_13416200.jpg,78790 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB серый,"смартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...",/images/product/97293/1630854442_62443400.jpg,15790 сом
Сотовый телефон Apple iPhone 12 256GB черный,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85006/1602711869_88662500.jpg,78020 сом
